fecha,datatype,station,value,fl_m,fl_q,fl_so,fl_t,units
2016-10-09,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-10-11,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-10-13,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2016-10-14,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-10-15,PRCP,GHCND:AR000875850,340,,,S,,mm_tenths
2016-10-16,PRCP,GHCND:AR000875850,170,,,S,,mm_tenths
2016-10-17,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-10-19,PRCP,GHCND:AR000875850,391,,,S,,mm_tenths
2016-10-20,PRCP,GHCND:AR000875850,249,,,S,,mm_tenths
2016-10-21,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2016-10-22,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-10-26,PRCP,GHCND:AR000875850,130,,,S,,mm_tenths
2016-10-27,PRCP,GHCND:AR000875850,8,,,S,,mm_tenths
2016-10-28,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-11-01,PRCP,GHCND:AR000875850,170,,,S,,mm_tenths
2016-11-02,PRCP,GHCND:AR000875850,259,,,S,,mm_tenths
2016-11-03,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2016-11-04,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-11-13,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2016-11-14,PRCP,GHCND:AR000875850,211,,,S,,mm_tenths
2016-11-15,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-12-06,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2016-12-07,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-12-23,PRCP,GHCND:AR000875850,269,,,S,,mm_tenths
2016-12-24,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2016-12-25,PRCP,GHCND:AR000875850,150,,,S,,mm_tenths
2016-12-26,PRCP,GHCND:AR000875850,381,,,S,,mm_tenths
2016-12-27,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-01-01,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-01-08,PRCP,GHCND:AR000875850,381,,,S,,mm_tenths
2017-01-09,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-01-10,PRCP,GHCND:AR000875850,300,,,S,,mm_tenths
2017-01-11,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-01-14,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-01-16,PRCP,GHCND:AR000875850,119,,,S,,mm_tenths
2017-01-17,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2017-01-18,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-01-25,PRCP,GHCND:AR000875850,89,,,S,,mm_tenths
2017-01-26,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-01-31,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2017-02-01,PRCP,GHCND:AR000875850,51,,,S,,mm_tenths
2017-02-02,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-02-05,PRCP,GHCND:AR000875850,160,,,S,,mm_tenths
2017-02-06,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2017-02-07,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-02-11,PRCP,GHCND:AR000875850,41,,,S,,mm_tenths
2017-02-12,PRCP,GHCND:AR000875850,51,,,S,,mm_tenths
2017-02-13,PRCP,GHCND:AR000875850,351,,,S,,mm_tenths
2017-02-14,PRCP,GHCND:AR000875850,259,,,S,,mm_tenths
2017-02-15,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2017-02-16,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-02-17,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2017-02-18,PRCP,GHCND:AR000875850,41,,,S,,mm_tenths
2017-02-19,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-02-22,PRCP,GHCND:AR000875850,330,,,S,,mm_tenths
2017-02-23,PRCP,GHCND:AR000875850,170,,,S,,mm_tenths
2017-02-24,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-02-28,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-03-03,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2017-03-04,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-03-05,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-03-09,PRCP,GHCND:AR000875850,419,,,S,,mm_tenths
2017-03-10,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-03-12,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-03-16,PRCP,GHCND:AR000875850,300,,,S,,mm_tenths
2017-03-17,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-03-27,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-03-31,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2017-04-01,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-04-03,PRCP,GHCND:AR000875850,89,,,S,,mm_tenths
2017-04-04,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-04-09,PRCP,GHCND:AR000875850,381,,,S,,mm_tenths
2017-04-10,PRCP,GHCND:AR000875850,191,,,S,,mm_tenths
2017-04-11,PRCP,GHCND:AR000875850,119,,,S,,mm_tenths
2017-04-12,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-04-17,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-04-18,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-04-19,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-04-20,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2017-04-21,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-04-26,PRCP,GHCND:AR000875850,391,,,S,,mm_tenths
2017-04-27,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-05-03,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2017-05-04,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-05-08,PRCP,GHCND:AR000875850,1049,,,S,,mm_tenths
2017-05-09,PRCP,GHCND:AR000875850,61,,,S,,mm_tenths
2017-05-10,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-05-12,PRCP,GHCND:AR000875850,109,,,S,,mm_tenths
2017-05-13,PRCP,GHCND:AR000875850,51,,,S,,mm_tenths
2017-05-14,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-05-18,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-05-19,PRCP,GHCND:AR000875850,51,,,S,,mm_tenths
2017-05-20,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-05-21,PRCP,GHCND:AR000875850,41,,,S,,mm_tenths
2017-05-22,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2017-05-23,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-05-25,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2017-05-26,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2017-05-27,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-05-29,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2017-05-30,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-06-09,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-06-16,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-06-17,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-06-18,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-06-19,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-06-27,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-06-28,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2017-06-29,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-07-07,PRCP,GHCND:AR000875850,51,D,,S,,mm_tenths
2017-07-08,PRCP,GHCND:AR000875850,391,,,S,,mm_tenths
2017-07-09,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-07-10,PRCP,GHCND:AR000875850,310,,,S,,mm_tenths
2017-07-11,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2017-07-12,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-07-14,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2017-07-15,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2017-07-16,PRCP,GHCND:AR000875850,99,,,S,,mm_tenths
2017-07-17,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-07-24,PRCP,GHCND:AR000875850,119,,,S,,mm_tenths
2017-07-25,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-07-26,PRCP,GHCND:AR000875850,51,,,S,,mm_tenths
2017-07-27,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-07-31,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2017-08-01,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2017-08-02,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2017-08-03,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-08-08,PRCP,GHCND:AR000875850,61,,,S,,mm_tenths
2017-08-09,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-08-11,PRCP,GHCND:AR000875850,221,,,S,,mm_tenths
2017-08-12,PRCP,GHCND:AR000875850,61,,,S,,mm_tenths
2017-08-13,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2017-08-14,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-08-19,PRCP,GHCND:AR000875850,99,,,S,,mm_tenths
2017-08-20,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2017-08-21,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-08-24,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2017-08-25,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2017-08-26,PRCP,GHCND:AR000875850,201,,,S,,mm_tenths
2017-08-27,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2017-08-28,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-08-29,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2017-08-30,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2017-08-31,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-09-03,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2017-09-04,PRCP,GHCND:AR000875850,79,,,S,,mm_tenths
2017-09-05,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-09-09,PRCP,GHCND:AR000875850,480,,,S,,mm_tenths
2017-09-10,PRCP,GHCND:AR000875850,589,,,S,,mm_tenths
2017-09-11,PRCP,GHCND:AR000875850,249,,,S,,mm_tenths
2017-09-12,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-09-21,PRCP,GHCND:AR000875850,99,,,S,,mm_tenths
2017-09-22,PRCP,GHCND:AR000875850,160,,,S,,mm_tenths
2017-09-23,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-09-27,PRCP,GHCND:AR000875850,201,,,S,,mm_tenths
2017-09-28,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-10-01,PRCP,GHCND:AR000875850,490,,,S,,mm_tenths
2017-10-02,PRCP,GHCND:AR000875850,61,,,S,,mm_tenths
2017-10-03,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2017-10-04,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-10-09,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2017-10-10,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-10-11,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-10-12,PRCP,GHCND:AR000875850,150,,,S,,mm_tenths
2017-10-13,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2017-10-14,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-10-19,PRCP,GHCND:AR000875850,99,,,S,,mm_tenths
2017-10-20,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-10-21,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-10-22,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2017-10-23,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-10-24,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-10-27,PRCP,GHCND:AR000875850,89,,,S,,mm_tenths
